"","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup"
"235",78,1,"All",4016024.02758084,670104.419755799,79-07-05,2016,"Summer",27
"236",78,1,"USA",202910.870871383,41940.1311781145,79-07-06,2016,"Summer",27
"237",78,1,"Canada",3813113.15670946,664800.780101367,79-07-26,2016,"Summer",27
"238",79,1,"All",3108209.4710358,479169.16582462,78-05-14,2016,"Spring",27
"239",79,1,"USA",175943.93666814,48505.322446955,78-07-22,2016,"Spring",27
"240",79,1,"Canada",2932265.53436766,466576.520998785,78-06-02,2016,"Spring",27
"241",80,1,"All",3004359.84493621,490365.393544327,80-06-05,2016,"Fall",27
"242",80,1,"USA",129650.587270298,31844.8545323626,80-07-23,2016,"Fall",27
"243",80,1,"Canada",2874709.25766591,485509.495442177,80-07-01,2016,"Fall",27
"244",81,1,"All",3209302.86273625,531395.983568504,81-07-26,2017,"Spring",28
"245",81,1,"USA",146866.130060893,32926.4293403428,81-05-26,2017,"Spring",28
"246",81,1,"Canada",3062436.73267536,525675.89964772,81-06-07,2017,"Spring",28
"247",82,1,"All",2690044.86135681,474895.550994442,82-07-04,2017,"Summer",28
"248",82,1,"USA",153406.007705609,42856.7969651723,82-06-26,2017,"Summer",28
"249",82,1,"Canada",2536638.8536512,463360.633259269,82-05-14,2017,"Summer",28
"250",83,1,"All",2982221.82786538,508430.411500332,83-07-15,2017,"Fall",28
"251",83,1,"USA",134497.685273233,34035.3945036353,83-07-17,2017,"Fall",28
"252",83,1,"Canada",2847724.14259215,502702.323427987,83-07-16,2017,"Fall",28
"253",84,1,"All",3271051.22335903,553871.382494859,85-07-22,2018,"Summer",29
"254",84,1,"USA",196597.630700231,48341.9073773505,85-05-24,2018,"Summer",29
"255",84,1,"Canada",3074453.5926588,545423.268595974,85-05-02,2018,"Summer",29
"256",85,1,"All",3767133.72978205,704372.899877982,84-05-10,2018,"Spring",29
"257",85,1,"USA",161904.957941849,47773.1811873821,84-07-20,2018,"Spring",29
"258",85,1,"Canada",3605228.7718402,693223.689499751,84-06-18,2018,"Spring",29
"259",86,1,"All",3225387.44798651,570665.49446838,86-07-17,2018,"Fall",29
"260",86,1,"USA",140018.164992417,41689.5633550139,86-07-18,2018,"Fall",29
