"Year","Season","Stratum","Depth_Mean","Depth_Median","Depth_Q5","Depth_Q95","Period"
2012,"Fall","Canada",283.410643087222,136.68755,61.4396779230724,1246.36728211671,"During Warming"
2012,"Fall","USA",131.243209807482,132.96301,48.5567479298678,194.036204224277,"During Warming"
2012,"Spring","Canada",266.466822072499,132.468,64.1895822069409,1139.31530694105,"During Warming"
2012,"Spring","USA",122.940088614497,128.61068,36.402308788433,193.424550187513,"During Warming"
2012,"Summer","Canada",241.427109529655,128.51732,66.9742707630566,1126.5358115436,"During Warming"
2012,"Summer","USA",126.147291327872,128.61068,43.4484992135474,193.450683751349,"During Warming"
2013,"Fall","Canada",286.453899392857,136.68755,59.9657772689831,1246.12870294396,"During Warming"
2013,"Fall","USA",127.804144678929,128.61068,46.3859857164596,194.025773575567,"During Warming"
2013,"Spring","Canada",256.936629018046,133.87537,61.8240807548581,1124.96186753469,"During Warming"
2013,"Spring","USA",127.666585900413,128.61068,40.8446791766885,200.939501926206,"During Warming"
2013,"Summer","Canada",265.648495359032,136.68755,58.5698755186289,1222.29930379286,"During Warming"
2013,"Summer","USA",128.268785801326,128.61068,43.5429466806455,199.808446633659,"During Warming"
2014,"Fall","Canada",286.258627024376,141.74271,59.9352242852782,1246.25696378886,"During Warming"
2014,"Fall","USA",130.347707441075,131.79974,48.0227313271838,201.069567495826,"During Warming"
2014,"Spring","Canada",246.565435472584,131.20985,60.7888405778667,1120.7617375268,"During Warming"
2014,"Spring","USA",130.695486906403,131.79974,46.3602001368641,193.451227106871,"During Warming"
2014,"Summer","Canada",262.713493489463,128.51732,60.8750074953561,1213.06136881718,"During Warming"
2014,"Summer","USA",128.10122203714,128.61068,43.5548143526935,193.973566190761,"During Warming"
2015,"Fall","Canada",292.784172664613,143.19907,60.101070924946,1246.32157105036,"During Warming"
2015,"Fall","USA",127.180224358727,128.61068,43.5422365310644,193.439805535324,"During Warming"
2015,"Spring","Canada",254.321445146286,136.68755,62.7566614605234,1061.04498880187,"During Warming"
2015,"Spring","USA",131.257138793473,131.79974,48.0115452117564,212.829531447558,"During Warming"
2015,"Summer","Canada",225.702161543112,132.04642,60.8707344451275,916.137189385043,"During Warming"
2015,"Summer","USA",127.668352694594,128.61068,43.5168970373625,200.164860927157,"During Warming"
2016,"Fall","Canada",256.850761791859,133.87537,59.8551145171034,1060.93264692531,"During Warming"
2016,"Fall","USA",129.268376815806,128.61068,48.4907582064583,205.350150591673,"During Warming"
2016,"Spring","Canada",255.850813202714,135.34977,64.2054509914849,1093.55257164447,"During Warming"
2016,"Spring","USA",128.80314808178,128.61068,43.5363853158776,199.464260396468,"During Warming"
2016,"Summer","Canada",226.192424388014,126.81427,64.2023844698647,996.970998707427,"During Warming"
2016,"Summer","USA",125.860577405683,128.61068,43.5181412594127,193.992378988087,"During Warming"
2017,"Fall","Canada",292.042024721578,143.70183,60.3188623863739,1245.96166362511,"During Warming"
2017,"Fall","USA",125.144514344556,128.61068,47.4439784507795,199.46283597174,"During Warming"
2017,"Spring","Canada",266.501011072535,136.68755,61.3299414443437,1118.05944293995,"During Warming"
2017,"Spring","USA",131.535730089626,131.79974,47.8609230032442,211.270587246849,"During Warming"
2017,"Summer","Canada",237.264237042048,132.04642,58.5168479645718,974.900380831903,"During Warming"
2017,"Summer","USA",125.741777723909,128.61068,43.4906977896731,199.86132979759,"During Warming"
2018,"Fall","Canada",312.125884014682,145.98458,59.9370583714564,1246.22121790332,"During Warming"
2018,"Fall","USA",125.12518979711,128.61068,43.5423830135272,194.034480449253,"During Warming"
2018,"Spring","Canada",259.217301683763,133.87537,60.8553537208852,1124.33264782606,"During Warming"
2018,"Spring","USA",123.566360178646,120.25267,36.4046778364305,193.450877064575,"During Warming"
2018,"Summer","Canada",286.490403370499,136.68755,61.3774425007297,1246.04828298061,"During Warming"
2018,"Summer","USA",124.540875859377,120.74826,43.456374573882,194.716001868059,"During Warming"
2019,"Fall","Canada",294.756240259546,143.19907,60.7750975211782,1245.77625514077,"During Warming"
2019,"Fall","USA",128.559754440437,128.61068,48.4857937589826,205.458149353339,"During Warming"
2019,"Spring","Canada",313.222933062062,148.2568,61.8252232191216,1279.22690935015,"During Warming"
2019,"Spring","USA",130.620463601226,130.49988,48.4852205121038,215.005243199715,"During Warming"
2019,"Summer","Canada",251.846510767556,135.41215,60.3224790970177,1060.52305567208,"During Warming"
2019,"Summer","USA",125.260972596698,128.61068,43.4957231904835,200.571595147462,"During Warming"
2020,"Fall","Canada",282.320101182509,136.68755,60.0127347031602,1245.65305948536,"During Warming"
2020,"Fall","USA",123.657005260594,120.25267,43.4921091399799,194.02524749318,"During Warming"
2020,"Spring","Canada",264.221099522004,133.87537,58.9676395973516,1128.0844584058,"During Warming"
2020,"Spring","USA",126.469157831283,128.61068,43.5008514585457,200.0572376586,"During Warming"
2020,"Summer","Canada",262.598137385002,136.68755,59.9985071123493,1130.41268314447,"During Warming"
2020,"Summer","USA",125.445204566757,128.61068,43.493459367931,198.768197974116,"During Warming"
2021,"Fall","Canada",292.681080055546,145.39875,60.7400328657038,1246.17771365446,"During Warming"
2021,"Fall","USA",127.631082183014,128.61068,48.4842729338977,199.942669596306,"During Warming"
2021,"Spring","Canada",274.666856552112,143.70183,60.8025290118072,1217.35204525158,"During Warming"
2021,"Spring","USA",128.385363587132,128.61068,43.5527485259986,207.305709628602,"During Warming"
2021,"Summer","Canada",270.496079499695,141.74271,59.9749868916821,1130.20668064009,"During Warming"
2021,"Summer","USA",125.046078548316,128.61068,43.4926846938546,194.728448631746,"During Warming"
2022,"Fall","Canada",288.988615836977,142.46734,59.8728222072239,1245.68947143391,"During Warming"
2022,"Fall","USA",127.44230778191,128.61068,48.5200911743388,199.998595930453,"During Warming"
2022,"Spring","Canada",264.460084674511,136.68755,60.9074329073624,1127.61372708561,"During Warming"
2022,"Spring","USA",127.333740057078,128.61068,43.5177280150575,207.383387074829,"During Warming"
2022,"Summer","Canada",279.4833445654,142.12096,59.9458557350668,1229.22675957509,"During Warming"
2022,"Summer","USA",124.825250084358,124.37197,43.4892255304154,199.568664242308,"During Warming"
2023,"Fall","Canada",295.985215558904,145.39875,59.8545006851013,1246.17657347594,"During Warming"
2023,"Fall","USA",127.763519241746,128.61068,48.5655562026507,199.966754896002,"During Warming"
2023,"Spring","Canada",264.662888621714,133.87537,59.9139886429874,1129.20406049874,"During Warming"
2023,"Spring","USA",126.14791218498,128.61068,43.4977645475534,200.157192340573,"During Warming"
2023,"Summer","Canada",259.367924531078,135.34977,58.5719534086619,1129.65710199127,"During Warming"
2023,"Summer","USA",124.267889235328,120.74826,43.4929485342585,194.03673543747,"During Warming"
